cod_interprete,interprete
415,"Grupo Gamação"
416,"Grupo Pirraça"
417,"Beth Carvalho"
418,"Martinho da Vila"
419,"Só Pra Contrariar"
420,"Molejo"
421,"Gera Samba"
422,"Raça Negra"
423,"Emílio Santiago"
424,"Molejo"
425,"Ginga Pura"
426,"Raça Negra"
427,"Os Morenos"
428,"Emílio Santiago"
429,"Dhema"
430,"Ginga Pura"
431,"Grupo Força, Fé e Raíz"
432,"Só Preto Sem Precoceito"
433,"Grupo Papo 10"
434,"Banda Brasil"
435,"Trasamba"
436,"Emílio Santiago"
437,"Emílio Santiago"
438,"Almir Guinéto"
439,"Fundo De Quintal"
440,"Eliana de Lima"
441,"Terrasamba"
442,"Razão Brasileira"
443,"Grupo Pirraça"
444,"Emílio Santiago"
445,"Emílio Santiago"
446,"Samba e Pagode"
447,"Martinho da Vila"
448,"Grupo Raça"
449,"Deita e Rola"
450,"Zeca Pagodinho"
451,"Gera Samba"
452,"Katinguelê"
453,"Katinguelê"
454,"Grupo Raça"
455,"Grupo Remix"
456,"Cor da Pele"
457,"Companhia do Samba"
458,"Sambas de Enredo"
459,"Fundo de Quintal"
460,"Raça Negra"
461,"Art Popular"
462,"Banda Mexe Comigo"
463,"Elson"
464,"Raça Negra"
465,"Grupo Apoteose"
466,"Ginga Pura"
467,"Leci Brandão"
468,"Cravo e Canela"
469,"Royce do Cavaco"
470,"Martinho da Vila"
471,"Royce do Cavaco"
472,"Companhia do Pagode"
473,"Art Popular"
474,"Comando Geral"
475,"Raça Negra"
476,"Samba"
477,"Elson"
478,"Zeca Pagodinho"
479,"Beth Carvalho"
480,"Samba Nas Coxas"
481,"Grupo Raça"
482,"Grupo Sambalanço"
483,"Sambas da Bahia"
484,"Beth Carvalho e Martinho da Vila"
485,"Fundo de Quintal"
486,"Fundo de Quintal"
487,"Fundo de Quintal"
488,"Fundo de Quintal"
489,"Fundo de Quintal"
490,"Martinho da Vila"
491,"Neguinho da Beija-Flor"
492,"Samba e Pagode Vol 2"
493,"Os Morenos"
494,"Cravo e Canela"
495,"Preto no Branco"
496,"Raça Negra"
497,"Grupo Tempero"
498,"Free Samba"
499,"Adryana Ribeiro"
500,"Casa de Samba"
501,"Molejo"
502,"Katinguelê"
503,"Exaltasamba"
504,"Grupo União"
505,"Só Pra Contrariar"
506,"Banda Brasil"
507,"A Baba do Pagode"
508,"Royce do Cavaco"
